date,id,content,user,place_id,reply_count,like_count,retweet_count,retweeted_tweet
2019-12-12 21:32:39+00:00,1205239064804261888,"Urgent!
We will #ClimateStrike at
Seattle City Hall
Friday 1-2 pm!

Leaders are failing us at the climate negotiations COP25. Join in solidarity with our young friends who were ejected from COP25.

Strike where you can!
Strike when you can!
Silent strike too!
#FridaysforFuture",Fri4FutureSea,,33,1483,270,
2019-12-12 20:35:03+00:00,1205224566009802756,"""HOW DARE YOU!""
- @GretaThunberg, climate activist, 2019 Person of the Year, founder of #FridaysForFuture, inspiration to us all.
https://t.co/8J1C6Wkv8X",UN_Women,,31,811,245,
2019-12-12 15:40:26+00:00,1205150426661838854,"''The change is going to come from the people demanding action,” she says, “and that is us.” 🙌🙌🙌
#FridaysForFuture",Greenpeace,,9,536,140,
2019-12-11 18:03:32+00:00,1204824047730728960,"This Friday 13th I’m looking forward to joining the climate strike in Torino, Italy on my way back home! See you at Piazza Castello, Torino 15.00!
#fridaysforfuture #climatestrike #schoolstrike4climate @F4F_Turin https://t.co/rymxXbIr3L",GretaThunberg,,817,30174,3411,
2019-12-11 17:15:06+00:00,1204811858588377090,"Huge congrats to @GretaThunberg who just became @TIME's 2019 Person of the Year!

Thank you for showing the world to never underestimate the power of a girl’s voice and inspiring so many to take #ClimateAction. 

#TIMEPOY #FridaysForFuture
https://t.co/Nc7AoAlidB",UN_Women,,29,1793,477,
2019-12-11 16:11:31+00:00,1204795860401434624,"Wow, this is unbelievable! I share this great honour with everyone in the #FridaysForFuture movement and climate activists everywhere. #climatestrike  https://t.co/2t2JyA6AnM https://t.co/u4JUD4cgCz",GretaThunberg,,8399,256776,36120,
2019-12-11 09:38:03+00:00,1204696841692028929,"Fridays For Future just occupied the main plenary stage at #COP25. Nobody has ever done an action like this before, the times are changing https://t.co/HvRbcmWDyB",_DylanHamilton_,,111,4624,1073,
2019-12-10 11:45:17+00:00,1204366473193500672,"so deeply honoured to welcome to my concert the school strikers from Fridays for Future in stockholm. @GretaThunberg recorded a message for my concert in april and who could have even imagined her journey since then !!! blown away ..let’s change the world , humility , björk https://t.co/iRT8zlRjDB",bjork,,55,2176,282,
2019-12-10 00:03:26+00:00,1204189846270464000,"At #cop25 today, during the Press Conference by Greta Thunberg, Lusia Neubauer and Fridays for Future, youth activist Carlon Zackhras from the Marshall Islands speaks about the importance of protecting our Island homes! #PacificPawa #mad4survival https://t.co/WCGKj4flut",350Pacific,,3,494,222,
2019-12-09 20:20:32+00:00,1204133749144870913,"#FridaysForFuture silently surrounding a fossil fuel exec at #COP25.
no it's not creepy, it's justice",AlexandriaV2005,,13,486,136,
